source,series,author,english_title,original_title,translator,pub_year,place,publisher,country,original_year,era,canonical_author,canonical_work
UNESCO Index Translationum,,Augustinus Aurelius,The confessions of Augustine,Confessiones,,1980,New York,Garland,United States of America,400,classical,Augustine of Hippo,Confessiones (The Confessions)
UNESCO Index Translationum,,Bonaventura,Saint Bonaventure's Disputed questions on the mystery of the Trinity,Quaestiones disputatae de mysterio Trinitatis,"Hayes, Zachary",1979,"St. Bonaventure, N.Y.",Franciscan Institute St. Bonaventure University,United States of America,1257,medieval,Bonaventure,Disputed Questions on the Mystery of the Trinity
UNESCO Index Translationum,,"Brewyn, William",A XVth century guide-book to the principal churches of Rome,,"Woodruff, C. Eveleigh",1980,New York,AMS Press,United States of America,1475,renaissance,William Brewyn,Fifteenth-Century Guide to the Principal Churches of Rome
UNESCO Index Translationum,,Nicolaus Cusanus,Of learned ignorance,De docta ignorantia,"Heron, Germain",1979,"Westport, CONN",Hyperion Press,United States of America,1440,renaissance,Nicholas of Cusa,De docta ignorantia (Of Learned Ignorance)
UNESCO Index Translationum,,"Rusch, William G.",The Trinitarian controversy,,"Rusch, William G.",1980,"Philadelphia, PA",Fortress Press,United States of America,325,classical,Council of Nicaea,Trinitarian Controversy (Early Christian)
UNESCO Index Translationum,,"Eck, Johann",Enchiridion of commonplaces against Luther and other enemies of the church,Enchiridion locorum communium adversus Lutteranos,"Battles, Ford Lewis",1979,"Grand Rapids, MICH",Baker Book House,United States of America,1525,renaissance,Johann Eck,Enchiridion locorum communium (Manual of Common Topics Against Luther)
UNESCO Index Translationum,,Gregorius I,Life and miracles of St. Benedict: book two of the Dialogues,Dialogi de vita (2),"Avery, Benedict R.; Zimmermann, Odo J.",1980,"Westport, CONN",Greenwood Press,United States of America,593,medieval,Gregory the Great,Dialogorum libri IV (Book Two: Life and Miracles of Saint Benedict)
UNESCO Index Translationum,,"Zwingli, Ulrich",The accompt and confession of the faith: Geneva 1555,"Ad Carolum Romanorum imperatorem Germaniae comitia Augustae celebrantem, fidei Huldrychi Zuinglij ratio","Cotsforde, Thomas",1979,"Norwood, N.J.",W. J. Johnson,United States of America,1545,renaissance,Ulrich Zwingli,Account and Confession of Faith
UNESCO Index Translationum,,"Cicero, Marcus Tullius","Cato major; or, His discourse of old-age",Cato maior,"Logan, James",1979,New York,Arno Press,United States of America,-44,classical,Cicero,Cato Maior de senectute (Discourse on Old Age)
UNESCO Index Translationum,,Hieronymus,The Middle English Bible: prefatory epistles of St. Jerome,Prologus galeatus,,1978,Oslo,Universitetsforlaget,Norway,420,classical,Jerome,Prefatory Epistles (Middle English Bible)
UNESCO Index Translationum,,"Cuming, G. J.; Jasper, Ronald Claud Dudley",Prayers of the Eucharist: early and reformed texts,,,1980,New York,Oxford University Press,United States of America,1200,medieval,Various Early Church Fathers,Prayers of the Eucharist: Early and Reformed Texts
UNESCO Index Translationum,,"Fortescue, John",De laudibus legum Anglie,De laudibus legum Anglie,"Chrimes, S. B.",1979,"Westport, CONN",Hyperion Press,United States of America,1470,renaissance,John Fortescue,De laudibus legum Angliae (In Praise of the Laws of England)
UNESCO Index Translationum,,"Grotius, Hugo",The rights of war and peace: including the law of nature and of nations,De jure belli et pacis,"Campbell, A. C.",1979,"Westport, CONN",Hyperion Press,United States of America,1645,early_modern,Hugo Grotius,De jure belli ac pacis (The Rights of War and Peace)
UNESCO Index Translationum,,"Biblia, John; Lightfoot","A commentary on the New Testament from the Talmud and Hebraica, Matthews, I Corinthians",Horae hebraicae et talmudicae,,1979,"Grand Rapids, MICH",Baker Book House,United States of America,1859,modern,John Lightfoot,Commentary on the New Testament from the Talmud and Hebraica
UNESCO Index Translationum,,"Luther, Martin",Commentary on Galatians,In Epistolam S. Pauli ad Galatas...comentarius,"Middleton, Erasmus",1979,"Grand Rapids, MICH",Regel Publications,United States of America,1535,renaissance,Martin Luther,Commentary on Galatians
UNESCO Index Translationum,,"Luther, Martin",The Theologia Germanica of Martin Luther,,"Hoffman, Bengt",1980,New York,Paulist Press,United States of America,1518,renaissance,Martin Luther,Theologia Germanica (translation/commentary)
UNESCO Index Translationum,,Guillaume de Saint-Thierry,Exposition on the Epistle to the Romans,Exposition in epistolam ad Romanos,"Hasbrouck, John Baptist",1980,"Kalamazoo, MICH",Cistercian Publications,United States of America,1100,medieval,William of Saint-Thierry,Exposition on the Epistle to the Romans
UNESCO Index Translationum,,"Cornaro, Luigi; Lessius, Leonardus",A treatise of health and long life with the future means of attaining it,Discorsi della vita sobria; Hygiasticon,,1979,New York,Arno Press,United States of America,1558,renaissance,Luigi Cornaro and Leonardus Lessius,A Treatise of Health and Long Life
UNESCO Index Translationum,,"Gilbert, Creighton E.","Italian art, 1400-1500: sources and documents",,"Gilbert, Creighton E.",1980,"Englewood Cliffs, N.J.",Prentice Hall,United States of America,1400,renaissance,Various,"Italian Art Sources and Documents, 1400-1500"
UNESCO Index Translationum,,"Tinctoris, Jean",Proportions in music,Proportionale musices,"Seay, Albert",1979,"Colorado Springs, COLO",Colorado College Music Press,United States of America,1477,medieval,Jean Tinctoris,Proportiones Musices
UNESCO Index Translationum,,Guibert de Nogent,"The autobiography of Guibert, abbot of Nogent-sous-Coucy",De vita sua,"Bland, Swinton C. C.",1979,"Westport, CONN",Greenwood Press,United States of America,1085,medieval,Guibert of Nogent,De vita sua (Autobiography)
UNESCO Index Translationum,,"Erasmus, Desiderius",The praise of folly,Moriae encomium,,1979,s. l.,J. Simon,United States of America,1509,renaissance,Desiderius Erasmus,Moriae Encomium
UNESCO Index Translationum,,"Fowler, William Warde; Vergilius Maro, Publius",Virgil's &quot;Gathering of the clans&quot;; Aeneas at the site of Rome; The death of Turnus,,,1978,New York,Garland,United States of America,-29,classical,Virgil,Aeneid (selections)
UNESCO Index Translationum,,"Horatius Flaccus, Quintus",Odes of Horace,,"McNicoll, Alan",1979,"Norwalk, CONN",Australian National University,United States of America,-23,classical,Horace,Odes
UNESCO Index Translationum,,"Legge, Thomas",Thomas Leggs's Richardus Tertius: a critical edition,,"Lordi, Robert J.",1979,New York,Garland,United States of America,1594,renaissance,Thomas Legge,Richardus Tertius (Richard III)
UNESCO Index Translationum,,Matthaeus Vindocinensis,The art of versification,Ars versificatoria,"Galyon, Aubrey E.",1980,"Ames, IA",Iowa State University Press,United States of America,1175,medieval,Matthew of Vendôme,Ars versificatoria (The Art of Versification)
UNESCO Index Translationum,,"Grant, Michael",Latin literature: an anthology,,"Grant, Michael",1978,New York,Penguin,United States of America,-27,classical,Various,Latin Literature: An Anthology
UNESCO Index Translationum,,Nicholas of Lynn,The kalendarium of Nicholas of Lynn,,"Eisner, Sigmund; MacEoin, Gary",1980,"Athens, GA",University of Georgia Press,United States of America,1380,medieval,Nicholas of Lynn,Kalendarium (Calendar)
UNESCO Index Translationum,,Dialogus creatorum,Herball from The dialogues of creatures moralised...: eleven dialogues,,,1979,"West Burke, Vt.",Janus Press,United States of America,1475,renaissance,Unknown,Dialogus creatorum (Dialogues of Creatures Moralised)
UNESCO Index Translationum,,"Ovidius Naso, Publius",Ovid's Medea,Metamorphoses (7) (extr.),"Tate, Nahum",1979,New York,R. Barrett,United States of America,8,classical,Ovid,Medea (from Metamorphoses)
UNESCO Index Translationum,,"Physiologos, Francis; Carmody",Physiologus,Physiologus,"Curley, Michael J.",1979,"Austin, TEX",University of Texas Press,United States of America,150,classical,Pseudo-Physiologus,Physiologus (Bestiary)
UNESCO Index Translationum,,,Roman poetry :  from the Republic to the Silver Age,,"Wender, Dorothea",1980,"Carbondale, ILL",Southern Illinois University Press,United States of America,-27,classical,Various,Roman Poetry: From the Republic to the Silver Age
UNESCO Index Translationum,,"Seneca, Lucius Annaeus",Seneca's Apocolocyntosis,Apocolocyntosis,"Ball, Allan Perley",1978,New York,Garland,United States of America,54,classical,Seneca the Younger,Apocolocyntosis divi Claudii (The Deification of Claudius)
UNESCO Index Translationum,,"Vergilius Maro, Publius",Aeneas in Libya: a translation into English verse of the first four books of Virgil's Aeneid,Aeneis (1-4),"Reynard, Charles Cassil",1979,New York,Vantage Press,United States of America,-29,classical,Virgil,Aeneid (Books 1-4)
UNESCO Index Translationum,,"Vergilius Maro, Publius",The Aeneid,,"Rhoades, James",1980,"Franklin Center, PA",Franklin Library,United States of America,-29,classical,Virgil,Aeneid
UNESCO Index Translationum,,"Caesar, Caius Julius",The battle for Gaul,De bello gallico,"Wiseman, Anne; Wiseman, Peter",1980,"Boston, MASS",David R. Godine,United States of America,-50,classical,Julius Caesar,Commentarii de bello Gallico (The Battle for Gaul)
UNESCO Index Translationum,,"Caesar, Caius Julius; Duncan, William",The commentaires of Caesar; A discourse concerning the Roman art of war,,,1979,New York,AMS Press,United States of America,-50,classical,Julius Caesar,Commentarii de bello Gallico (The Battle for Gaul)
UNESCO Index Translationum,,Giraldus Cambrensis,The journey through Wales; The description of Wales,Itinerarium Cambriae,"Thorpe, Lewis",1978,New York,Penguin,United States of America,1190,medieval,Gerald of Wales (Giraldus Cambrensis),Itinerarium Cambriae and Descriptio Cambriae (Journey and Description of Wales)
UNESCO Index Translationum,,Hrotsvitha of Gandersheim,The plays of Hrotswitha of Gandersheim,,"Bonfante, Larissa; Bonfante-Warren, Larissa",1979,,,United States of America,970,medieval,Hrosvitha of Gandersheim,Dramas/Plays
UNESCO Index Translationum,,Pseudo Turpin,An anonymous Old French translation of the Pseudo-Turpin Chronicle: a critical edition of the text contained in Bibliothèque Nationale,Historia Karoli Magni et Rotholandi (MS),"Walpole, Ronald N.",1979,"Cambridge, MASS",Mediaeval Academy of America,United States of America,1150,medieval,Pseudo-Turpin,Pseudo-Turpin Chronicle (Old French translation)
UNESCO Index Translationum,,"Suetonius Tranquillus, Caius",The twelve Caesars,Vitae XII Caesarum,"Graves, Robert",1979,New York,Penguin,United States of America,121,classical,Suetonius,De Vita Caesarum
UNESCO Index Translationum,,"Lindeström, Peter Mårtensson",Geographia Americae: with an account of the Delaware Indians: based on surveys and notes made in 1654-1656,Geographia Americae,,1979,New York,Arno Press,United States of America,1654,early_modern,Peter Mårtensson Lindeström,Geographia Americae
UNESCO Index Translationum,,Saxo Grammaticus,The history of the Danes,Historiæ Danicæ,"Fisher, Peter",1979,"Totowa, N.J.",Rowman and Littlefield,United States of America,1220,medieval,Saxo Grammaticus,Gesta Danorum (History of the Danes)
UNESCO Index Translationum,,Anselmus Cantuariensis,The prayers and meditatons of Saint Anselm,,"Ward, Benedicta",1979,Harmondsworth,Penguin,United Kingdom,1090,medieval,Anselm of Canterbury,Prayers and Meditations
UNESCO Index Translationum,,Benedictus,Households of God: the rule of St Benedict...,Regula,,1980,London,"Darton, Longman and Todd",United Kingdom,530,medieval,Benedict of Nursia,Regula Benedicti (Rule of Saint Benedict)
UNESCO Index Translationum,,Guillaume de Saint-Thierry,The golden epistle of Abbott William of St Thierry,,"Shewring, Walter",1980,London,Sheed &amp; Ward,United Kingdom,1140,medieval,William of Saint-Thierry,Epistola aurea (The Golden Epistle)
UNESCO Index Translationum,,Thomas à Kempis,The imitation of Christ,De imitatione Christi,"Daplyn, Edgar",1979,London,Lakeland,United Kingdom,1420,medieval,Thomas à Kempis,Imitatio Christi
UNESCO Index Translationum,,Catholica Romana Ecclesia,Directives for mutual relations bishops and religious in the church (mutuae relationes),,"Volery, Gilbert",1978,London,Catholic Truth Society,United Kingdom,1978,modern,Ioannes Paulus II,Mutuae relationes (Directives on Bishops and Religious)
UNESCO Index Translationum,,Catholica Romana Ecclesia,Encyclical redemptor hominis of the Supreme Pontiff John Paul II,Redemptor hominis,,1979,Abbotts Longley,Catholic Information Office,United Kingdom,1979,modern,Ioannes Paulus II,Redemptor hominis (Encyclical on Redemption)
UNESCO Index Translationum,,Catholica Romana Ecclesia,Apostolic exhortation &quot;Catechesi tradendae&quot; of His Holiness Pope John Paul II to the episcopate...,Catechesi tradendae,,1979,London,Catholic Truth Society,United Kingdom,1979,modern,Ioannes Paulus II,Catechesi tradendae (Apostolic Exhortation on Catechesis)
UNESCO Index Translationum,,Catholica Romana Ecclesia,John Paul II on justice and peace,Redemptor hominis (extr.),,1979,London,Catholic Truth Society,United Kingdom,1988,modern,Ioannes Paulus II,Sollicitudo rei socialis (On Social Concerns: Justice and Peace)
UNESCO Index Translationum,,Catholica Romana Ecclesia,Instructions on the revised Roman rites...,,,1979,London,Collins Liturgical,United Kingdom,1983,modern,Catholic Church,Instructions on the Revised Roman Rites
UNESCO Index Translationum,,"Manzalaoui, M. A.",Secretum secretorum: nine English versions,,,1977,Oxford,Oxford University Press,United Kingdom,1235,medieval,Pseudo-Aristotle,Secretum secretorum (Secret of Secrets)
UNESCO Index Translationum,,"Cicero, Quintus Tullius",A short guide to electioneering,Commentariolum petitionis,"Murrell, J.; Taylor, D. W.",1977,Harrow,London Association of Classical Teachers,United Kingdom,-64,classical,Quintilian Cicero,A Short Guide to Electioneering
UNESCO Index Translationum,,"Phellyps, Richard","A survey of West Country manors, 1525: the lands of Cecily Marchioness of Dorset, Lady Harington and Bonville in Cornwall, Devon, Dorset, Somerset, Wiltshire",,"Stoate, T. L.",1979,Bristol,T. L. Stoate,United Kingdom,1525,renaissance,Richard Phellyps,A Survey of West Country Manors
UNESCO Index Translationum,,England,Curia Regis rolls of the reign of Henry III preserved in the Public Record Office (16:) 21 to 26 Henry III (1237-1242),,,1979,London,H.M.S.O.,United Kingdom,1237,medieval,English Royal Court,Curia Regis Rolls (Henry III)
UNESCO Index Translationum,,London Association of Classical Teachers,Roman politics: sources for the history of the late Republic,,,1978,Harrow,London Association of Classical Teachers,United Kingdom,-100,classical,Various,Roman Politics: Sources for the Late Republic
